I%M/ˆ`<†-q.iié\md¸a§=¬LŒÁKXþtemp,light,hum
22.60,10.00,66.10
22.60,10.00,66.10
22.10,6.67,68.40
22.10,3.33,68.40
22.10,10.00,68.40
22.10,6.67,68.40
22.10,10.00,68.40
22.10,6.67,68.40
22.10,6.67,68.40
22.10,6.67,68.40
22.10,6.67,68.40
22.70,6.67,67.00
22.70,6.67,67.00
22.70,10.00,67.00
22.70,6.67,67.00
22.70,10.00,67.00
22.70,10.00,67.00
22.70,6.67,67.00
22.70,6.67,67.00
22.20,6.67,65.90
22.20,6.67,65.90
22.20,6.67,65.90
22.20,10.00,65.90
22.20,6.67,65.90
22.20,6.67,65.90
22.20,6.67,65.90
22.20,13.33,65.90
22.20,6.67,65.90
22.80,6.67,66.60
22.80,10.00,66.60
22.80,6.67,66.60
22.80,6.67,66.60
22.80,6.67,66.60
22.80,6.67,66.60
22.80,6.67,66.60
22.80,10.00,66.60
22.80,6.67,62.00
22.60,10.00,62.00
22.60,10.00,62.00
22.60,13.33,62.00
22.60,6.67,62.00
22.60,6.67,62.00
22.60,10.00,62.00
22.60,6.67,62.00
22.60,6.67,62.00
22.80,10.00,68.10
22.80,6.67,68.10
22.80,10.00,68.10
22.80,13.33,68.10
22.80,10.00,68.10
22.80,10.00,68.10
22.80,10.00,68.10
22.80,10.00,68.10
22.80,10.00,68.10
22.90,13.33,66.10
22.90,13.33,66.10
22.90,16.67,66.10
22.90,10.00,66.10
22.90,10.00,66.10
22.90,10.00,66.10
22.90,10.00,66.10
22.90,10.00,66.10
22.60,13.33,63.90
22.60,13.33,63.90
22.60,13.33,63.90
22.60,13.33,63.90
22.60,10.00,63.90
22.60,10.00,63.90
22.60,10.00,63.90
22.60,13.33,63.90
22.60,10.00,63.90
22.50,13.33,65.70
22.50,16.67,65.70
22.50,10.00,65.70
22.50,10.00,65.70
22.50,13.33,65.70
22.50,16.67,65.70
22.50,13.33,65.70
22.50,10.00,65.70
22.60,10.00,67.10
22.60,10.00,67.10
22.60,13.33,67.10
22.60,13.33,67.10
22.60,13.33,67.10
22.60,13.33,67.10
22.60,10.00,67.10
22.60,13.33,67.10
22.60,13.33,67.10
22.60,16.67,67.60
22.60,13.33,67.60
22.60,13.33,67.60
22.60,10.00,67.60
22.60,13.33,67.60
22.60,16.67,67.60
22.60,10.00,67.60
22.60,13.33,67.60
22.60,10.00,65.30
22.60,10.00,65.30
22.60,10.00,65.30
22.60,13.33,65.30
22.60,10.00,65.30
22.60,13.33,65.30
22.60,13.33,65.30
22.60,13.33,65.30
22.60,10.00,65.30
22.40,16.67,67.20
22.40,13.33,67.20
22.40,16.67,67.20
22.40,13.33,67.20
22.40,10.00,67.20
22.40,13.33,67.20
22.40,10.00,67.20
22.40,13.33,67.20
22.40,16.67,67.20
22.60,13.33,67.20
22.60,13.33,67.20
22.60,10.00,67.20
22.60,10.00,67.20
22.60,10.00,67.20
22.60,10.00,67.20
22.60,13.33,67.20
22.60,10.00,67.20
22.70,13.33,66.60
22.70,13.33,66.60
22.70,16.67,66.60
22.70,10.00,66.60
22.70,13.33,66.60
22.70,16.67,66.60
22.70,13.33,66.60
22.70,10.00,66.60
22.70,10.00,66.60
22.80,13.33,65.50
22.80,10.00,65.50
22.80,10.00,65.50
22.80,10.00,65.50
22.80,10.00,65.50
22.80,10.00,65.50
22.80,13.33,65.50
22.80,13.33,65.50
22.40,13.33,66.60
22.40,13.33,66.60
22.40,10.00,66.60
22.40,13.33,66.60
22.40,10.00,66.60
22.40,16.67,66.60
22.40,13.33,66.60
22.40,10.00,66.60
22.40,13.33,66.60
22.90,10.00,66.40
22.90,10.00,66.40
22.90,10.00,66.40
22.90,10.00,66.40
22.90,13.33,66.40
22.90,10.00,66.40
22.90,13.33,66.40
22.90,10.00,66.40
22.90,10.00,64.30
22.90,13.33,64.30
22.90,10.00,64.30
22.90,10.00,64.30
22.90,13.33,64.30
22.90,16.67,64.30
22.90,13.33,64.30
22.90,13.33,64.30
22.90,10.00,64.30
23.00,10.00,65.00
23.00,13.33,65.00
23.00,13.33,65.00
23.00,13.33,65.00
23.00,13.33,65.00
23.00,13.33,65.00
23.00,13.33,65.00
23.00,10.00,65.00
22.90,10.00,63.50
22.90,10.00,63.50
22.90,13.33,63.50
22.90,16.67,63.50
22.90,10.00,63.50
22.90,10.00,63.50
22.90,10.00,63.50
22.90,13.33,63.50
22.90,13.33,63.50
22.70,13.33,64.80
22.70,10.00,64.80
22.70,10.00,64.80
22.70,13.33,64.80
22.70,10.00,64.80
22.70,10.00,64.80
22.70,13.33,64.80
22.70,16.67,64.80
22.70,13.33,64.80
22.80,16.67,64.80
22.80,13.33,64.80
22.80,10.00,64.80
22.80,13.33,64.80
22.80,13.33,64.80
22.80,13.33,64.80
22.80,16.67,64.80
22.80,10.00,64.80
22.70,13.33,67.70
22.70,10.00,67.70
22.70,10.00,67.70
22.70,13.33,67.70
22.70,10.00,67.70
22.70,13.33,67.70
22.70,10.00,67.70
22.70,13.33,67.70
22.70,13.33,67.70
22.90,10.00,67.00
22.90,10.00,67.00
22.90,10.00,67.00
22.90,13.33,67.00
22.90,13.33,67.00
22.90,13.33,67.00
22.90,13.33,67.00
22.90,10.00,67.00
22.90,13.33,67.70
22.90,10.00,67.70
22.90,10.00,67.70
22.90,13.33,67.70
22.90,16.67,67.70
22.90,10.00,67.70
22.90,10.00,67.70
22.90,13.33,67.70
22.90,13.33,67.70
22.80,13.33,63.40
22.80,16.67,63.40
22.80,10.00,63.40
22.80,13.33,63.40
22.80,10.00,63.40
22.80,13.33,63.40
22.80,10.00,63.40
22.80,13.33,63.40
22.60,10.00,66.10
22.60,13.33,66.10
22.60,13.33,66.10
22.60,13.33,66.10
22.60,13.33,66.10
22.60,13.33,66.10
22.60,13.33,66.10
22.60,16.67,66.10
22.60,13.33,66.10
22.50,16.67,66.30
22.50,13.33,66.30
22.50,10.00,66.30
22.50,10.00,66.30
22.50,10.00,66.30
22.50,10.00,66.30
22.50,13.33,66.30
22.50,16.67,66.30
23.10,10.00,65.70
23.10,16.67,65.70
23.10,13.33,65.70
23.10,13.33,65.70
23.10,13.33,65.70
23.10,13.33,65.70
23.10,10.00,65.70
23.10,10.00,65.70
23.10,13.33,65.70
